##########################################################################################
	Title		: Manually Annotated Sentiment Analysis Twitter Dataset NTUA
	Created by 	: Aisopos Fotis et al. 
	Institution : National Technical University of Athens
	Laboratory  : Distributed Knowledge and Media Systems Group (http://grid.ece.ntua.gr/)
	Published 	: Monday 20 October 2014
##########################################################################################	
Labelling conventions : negative (1) , positive (2) , neutral (3)
1	I want togo home :(
3	Administration doesn't really know what its diplomatic strategy will be' Bolton on Obama (video): Jus.. http://bit.ly/13T2w2
3	Blogged Mechanical engineer at Erie Personnel (Ft Erie, ON): - http://tinyurl.com/kvotxr
1	i can feel that my dark eye rings are getting darker and darker now. i mean processing right now! argh :(
3	Eric Fortune: "Daughters Of Our Nature"- Alure: zou posted a new favorite picture (via): http://bit.ly/bEcHR
1	@JasonM314 WOW! Nice one on the not smoking!!! I am too addicted to quit! :-(
1	sitting next cute little toddlers on the subway always puts me in a good mood...but now I miss my niece and nephews :(
3	Full link here, such a cute puppy! If Ididn't live in a condo, i'd take her :) RT @BobbiBillard http://www.adoptapet.com/pet2818437.html
2	Solved the multitasking and battery dilemma of iPhones by putting a SIM in my 3G and using it in parallel with my 3GS(syncs via MobileMe):-P
2	Haha! That's funy!!!! :) RT @melsie75: @jordanknight YAY! I feel like I just experienced the second coming of Jesus!!!!!
2	Photo: (via fuckyeahhappy) awwwww :ÕDDD http://tumblr.com/xue2tnt0q
3	This Article Was Recently Updated On APlusSites.com: ( http://bit.ly/4XkgFB )
3	Good luck! RT @dogspelledfwd .@Troubledpaws Prob is, if some1 posted it, NGC wld go after it 4 copyright infrigement.I'm working on it
3	#florida #events The Reid Report | Coulter disses Kathleen Parker (and Florida, too): In the too.. http://bit.ly/XMxsS
1	I think my scalp is sunburned :( Interesting, considering I haven't been outside today. Fucking bull if you ask me....OWWWIEEE
3	@dandebuf yeah hit me up tomorrow. i'm hungry now :( will be good to see ryan too.
1	http://twitpic.com/c2j19 - The Blender at Gramercy on a sad sad day :(
1	Not @ school :(, cause I'm sick -- for rillz. :| I can't believe it either
1	@MattchewCorpuz because I always mess this up :(
3	Iceland debt repayment could affect European Union bid: (STOCKHOLM) Iceland is struggling to make amends on a hu.. http://bit.ly/XQjJV
1	HAPPY TIME // Tim Buckley ft Danny Thompson on bass: http://bit.ly/16wa8 - DT shed a tear showing me this the other day :(
